pred_115_A.png; Acc 0.9829070568084717; Dice 0.9058794956118759; clDice 0.9472890296161984; 0-dim Betti 0.0986328125
pred_117_A.png; Acc 0.9844486713409424; Dice 0.9073610387175667; clDice 0.9178982269385146; 0-dim Betti 0.08203125
pred_134_A.png; Acc 0.985511064529419; Dice 0.9140687636541032; clDice 0.9524532725453863; 0-dim Betti 0.07421875
pred_167_D.png; Acc 0.9831898212432861; Dice 0.8733453448706364; clDice 0.8570124171543608; 0-dim Betti 0.12109375
pred_178_D.png; Acc 0.986799955368042; Dice 0.9173285311759463; clDice 0.9459854054935284; 0-dim Betti 0.0810546875
pred_202_D.png; Acc 0.9768848419189453; Dice 0.8177086858750179; clDice 0.863050634087211; 0-dim Betti 0.1083984375
pred_223_D.png; Acc 0.9887814521789551; Dice 0.8981343170491988; clDice 0.9183686846354232; 0-dim Betti 0.0673828125
pred_253_D.png; Acc 0.9808216094970703; Dice 0.8034674172237207; clDice 0.7709872166097246; 0-dim Betti 0.150390625
pred_265_D.png; Acc 0.9802100658416748; Dice 0.8885625026011704; clDice 0.9147926794268891; 0-dim Betti 0.13671875
pred_27_A.png; Acc 0.985159158706665; Dice 0.8771548278999272; clDice 0.8626591536620939; 0-dim Betti 0.1240234375
pred_292_D.png; Acc 0.9818191528320312; Dice 0.9003421426125686; clDice 0.9395227821439666; 0-dim Betti 0.1318359375
pred_307_G.png; Acc 0.9863111972808838; Dice 0.8910276971665113; clDice 0.8901062384077937; 0-dim Betti 0.0986328125
pred_356_G.png; Acc 0.985987663269043; Dice 0.9204172771366902; clDice 0.9612569564165434; 0-dim Betti 0.0869140625
pred_383_G.png; Acc 0.9854106903076172; Dice 0.9176142712891282; clDice 0.9585520196003471; 0-dim Betti 0.09375
pred_388_G.png; Acc 0.9850637912750244; Dice 0.8532977390612011; clDice 0.8581447766324806; 0-dim Betti 0.130859375
pred_420_G.png; Acc 0.9849874973297119; Dice 0.9109608121235946; clDice 0.9101444517975504; 0-dim Betti 0.1201171875
pred_421_G.png; Acc 0.9813778400421143; Dice 0.8999045269599205; clDice 0.9167898019934028; 0-dim Betti 0.142578125
pred_439_G.png; Acc 0.9866034984588623; Dice 0.8974527907609142; clDice 0.9191037718888094; 0-dim Betti 0.09375
pred_457_N.png; Acc 0.9783375263214111; Dice 0.884882087095781; clDice 0.9117409675162262; 0-dim Betti 0.1572265625
pred_479_N.png; Acc 0.9864044189453125; Dice 0.9226669487456977; clDice 0.9383298251276748; 0-dim Betti 0.1162109375
pred_511_N.png; Acc 0.9863851070404053; Dice 0.9248874396751633; clDice 0.9566488057770769; 0-dim Betti 0.11328125
pred_522_N.png; Acc 0.9874277114868164; Dice 0.9305005667290508; clDice 0.9587757435861092; 0-dim Betti 0.095703125
pred_548_N.png; Acc 0.9856142997741699; Dice 0.9201728366968399; clDice 0.9463328328728323; 0-dim Betti 0.1396484375
pred_573_N.png; Acc 0.9845273494720459; Dice 0.9215701677315812; clDice 0.960133088301865; 0-dim Betti 0.0908203125
pred_76_A.png; Acc 0.9810898303985596; Dice 0.8637159504659071; clDice 0.8446401348635746; 0-dim Betti 0.125
pred_78_A.png; Acc 0.9879181385040283; Dice 0.9215505056838149; clDice 0.9383993134708462; 0-dim Betti 0.0859375
pred_82_A.png; Acc 0.9868013858795166; Dice 0.8775636134425904; clDice 0.9049799443178155; 0-dim Betti 0.0732421875
pred_88_A.png; Acc 0.9864530563354492; Dice 0.9146739228371146; clDice 0.9233711333907464; 0-dim Betti 0.109375
pred_92_A.png; Acc 0.9847102165222168; Dice 0.9141177415898865; clDice 0.9466921895519825; 0-dim Betti 0.0771484375
pred_98_A.png; Acc 0.9852068424224854; Dice 0.8941894313920433; clDice 0.8940403141607258; 0-dim Betti 0.1064453125

Average:
accuracy: 0.9844383637110392
dice: 0.8961506464625053
cldice: 0.9142733937329234
0betti: 0.10774739583333333
