pred_115_A.png; Acc 0.9872968196868896; Dice 0.9257470793423834; clDice 0.9319179046973539; 0-dim Betti 0.0927734375
pred_117_A.png; Acc 0.9740548133850098; Dice 0.8274507192328183; clDice 0.8540342396399182; 0-dim Betti 0.115234375
pred_134_A.png; Acc 0.9879472255706787; Dice 0.9236787238571736; clDice 0.937608045868603; 0-dim Betti 0.060546875
pred_167_D.png; Acc 0.9839692115783691; Dice 0.8713980238620759; clDice 0.8319507953268735; 0-dim Betti 0.140625
pred_178_D.png; Acc 0.9894449710845947; Dice 0.9296525291624756; clDice 0.9307747091447732; 0-dim Betti 0.0810546875
pred_202_D.png; Acc 0.978501558303833; Dice 0.8156528743480865; clDice 0.851261998544335; 0-dim Betti 0.11328125
pred_223_D.png; Acc 0.984405517578125; Dice 0.8455683052368135; clDice 0.8744637548821163; 0-dim Betti 0.0986328125
pred_253_D.png; Acc 0.9797019958496094; Dice 0.7790144734929502; clDice 0.7451712702819541; 0-dim Betti 0.134765625
pred_265_D.png; Acc 0.9840621948242188; Dice 0.9045140426407192; clDice 0.9112013207823723; 0-dim Betti 0.1123046875
pred_27_A.png; Acc 0.9861834049224854; Dice 0.8781694834012728; clDice 0.8551693537989108; 0-dim Betti 0.1201171875
pred_292_D.png; Acc 0.9881527423858643; Dice 0.9308555565605193; clDice 0.9438240396215861; 0-dim Betti 0.099609375
pred_307_G.png; Acc 0.9843416213989258; Dice 0.866393252529691; clDice 0.8659699571059932; 0-dim Betti 0.1123046875
pred_356_G.png; Acc 0.9907972812652588; Dice 0.9446602178379363; clDice 0.964695158346694; 0-dim Betti 0.05859375
pred_383_G.png; Acc 0.9902288913726807; Dice 0.9417375938449378; clDice 0.9559322425837049; 0-dim Betti 0.072265625
pred_388_G.png; Acc 0.9863576889038086; Dice 0.8549321055887393; clDice 0.8617913182446886; 0-dim Betti 0.1015625
pred_420_G.png; Acc 0.9847865104675293; Dice 0.9047620469070426; clDice 0.8986454791084152; 0-dim Betti 0.1171875
pred_421_G.png; Acc 0.9842853546142578; Dice 0.9108219930564764; clDice 0.9094504611596304; 0-dim Betti 0.1376953125
pred_439_G.png; Acc 0.9878654479980469; Dice 0.8992629187152142; clDice 0.9049404212302847; 0-dim Betti 0.08203125
pred_457_N.png; Acc 0.9831140041351318; Dice 0.905186527852336; clDice 0.906651507171101; 0-dim Betti 0.13671875
pred_479_N.png; Acc 0.9870650768280029; Dice 0.923453529337899; clDice 0.9379591928169595; 0-dim Betti 0.1015625
pred_511_N.png; Acc 0.9893069267272949; Dice 0.9384481523466556; clDice 0.9580304920112199; 0-dim Betti 0.095703125
pred_522_N.png; Acc 0.9895961284637451; Dice 0.939470314972972; clDice 0.9633548148148583; 0-dim Betti 0.076171875
pred_548_N.png; Acc 0.9880862236022949; Dice 0.9303256859371384; clDice 0.9386660235326956; 0-dim Betti 0.1201171875
pred_573_N.png; Acc 0.9891378879547119; Dice 0.9423012382203163; clDice 0.9576487022183398; 0-dim Betti 0.0810546875
pred_76_A.png; Acc 0.9735486507415771; Dice 0.788668542290102; clDice 0.7898143913431006; 0-dim Betti 0.1669921875
pred_78_A.png; Acc 0.9880714416503906; Dice 0.9178693842173691; clDice 0.9339913351290526; 0-dim Betti 0.0859375
pred_82_A.png; Acc 0.9869046211242676; Dice 0.8686634402020047; clDice 0.8900035123929642; 0-dim Betti 0.0732421875
pred_88_A.png; Acc 0.9878973960876465; Dice 0.9194325583757634; clDice 0.918207631811136; 0-dim Betti 0.099609375
pred_92_A.png; Acc 0.9834656715393066; Dice 0.899486052693368; clDice 0.9210847020917017; 0-dim Betti 0.08984375
pred_98_A.png; Acc 0.9861149787902832; Dice 0.8931024482288978; clDice 0.8813515597204823; 0-dim Betti 0.115234375

Average:
accuracy: 0.9854897419611613
dice: 0.8940226604764051
cldice: 0.9008522111807272
0betti: 0.10309244791666666
