pred_115_A.png; Acc 0.9799253940582275; Dice 0.8906999053673215; clDice 0.9310703937987131; 0-dim Betti 0.119140625
pred_117_A.png; Acc 0.9766383171081543; Dice 0.8609500455524619; clDice 0.8628255219347372; 0-dim Betti 0.1318359375
pred_134_A.png; Acc 0.9794340133666992; Dice 0.8750354930491572; clDice 0.9008119009824253; 0-dim Betti 0.123046875
pred_167_D.png; Acc 0.9810287952423096; Dice 0.8524711741159413; clDice 0.8294831642263866; 0-dim Betti 0.162109375
pred_178_D.png; Acc 0.9845302104949951; Dice 0.902353537831326; clDice 0.9137667652721477; 0-dim Betti 0.1279296875
pred_202_D.png; Acc 0.969677209854126; Dice 0.7530556650428036; clDice 0.7667672551697613; 0-dim Betti 0.1904296875
pred_223_D.png; Acc 0.9787676334381104; Dice 0.814977177298216; clDice 0.8142165530559775; 0-dim Betti 0.17578125
pred_253_D.png; Acc 0.9780259132385254; Dice 0.7705338425610102; clDice 0.7391108745421973; 0-dim Betti 0.1806640625
pred_265_D.png; Acc 0.9775967597961426; Dice 0.8698164024184118; clDice 0.8885268259474549; 0-dim Betti 0.1416015625
pred_27_A.png; Acc 0.9762153625488281; Dice 0.8095041685284694; clDice 0.7866182419154625; 0-dim Betti 0.2216796875
pred_292_D.png; Acc 0.9845523834228516; Dice 0.9120149701655899; clDice 0.9400714819187396; 0-dim Betti 0.111328125
pred_307_G.png; Acc 0.9851160049438477; Dice 0.8810641508283672; clDice 0.8835366712456106; 0-dim Betti 0.107421875
pred_356_G.png; Acc 0.9866750240325928; Dice 0.9224049481787953; clDice 0.9574074913537713; 0-dim Betti 0.0927734375
pred_383_G.png; Acc 0.9858145713806152; Dice 0.917787284374361; clDice 0.9499685226042955; 0-dim Betti 0.0830078125
pred_388_G.png; Acc 0.9794301986694336; Dice 0.7984083145237795; clDice 0.7689626579535943; 0-dim Betti 0.2255859375
pred_420_G.png; Acc 0.9826936721801758; Dice 0.8973983496213288; clDice 0.9034604470228411; 0-dim Betti 0.125
pred_421_G.png; Acc 0.9820556640625; Dice 0.9026200364864341; clDice 0.9095803652467961; 0-dim Betti 0.1591796875
pred_439_G.png; Acc 0.9857742786407471; Dice 0.8893286864006736; clDice 0.9227127124513553; 0-dim Betti 0.09765625
pred_457_N.png; Acc 0.9773199558258057; Dice 0.878332593645162; clDice 0.8976914325428085; 0-dim Betti 0.171875
pred_479_N.png; Acc 0.9852032661437988; Dice 0.9159538912392271; clDice 0.9406614199690412; 0-dim Betti 0.1083984375
pred_511_N.png; Acc 0.9866652488708496; Dice 0.924848703092584; clDice 0.944724795209228; 0-dim Betti 0.134765625
pred_522_N.png; Acc 0.9853625297546387; Dice 0.917529733839487; clDice 0.9502311283773477; 0-dim Betti 0.09765625
pred_548_N.png; Acc 0.9855461120605469; Dice 0.9173474396029885; clDice 0.9333752373158776; 0-dim Betti 0.1328125
pred_573_N.png; Acc 0.9858372211456299; Dice 0.9269925779536095; clDice 0.9548977309359634; 0-dim Betti 0.095703125
pred_76_A.png; Acc 0.9776408672332764; Dice 0.8379742330291999; clDice 0.8111407156352338; 0-dim Betti 0.146484375
pred_78_A.png; Acc 0.9837827682495117; Dice 0.8967767391040428; clDice 0.9255787193166374; 0-dim Betti 0.11328125
pred_82_A.png; Acc 0.9784178733825684; Dice 0.8095684881940121; clDice 0.8387417838305273; 0-dim Betti 0.1484375
pred_88_A.png; Acc 0.9852869510650635; Dice 0.908486409614184; clDice 0.925177914599781; 0-dim Betti 0.1044921875
pred_92_A.png; Acc 0.9783227443695068; Dice 0.8800636346967392; clDice 0.908041466909627; 0-dim Betti 0.119140625
pred_98_A.png; Acc 0.98354172706604; Dice 0.8817097432540574; clDice 0.8782362580075844; 0-dim Betti 0.1279296875

Average:
accuracy: 0.9815626223882039
dice: 0.873866944653658
cldice: 0.8859132149763975
0betti: 0.13590494791666666
