pred_115_A.png; Acc 0.9901018142700195; Dice 0.9428473883750961; clDice 0.953293239845338; 0-dim Betti 0.0751953125
pred_117_A.png; Acc 0.9841856956481934; Dice 0.9037708257168224; clDice 0.9147353363028795; 0-dim Betti 0.0849609375
pred_134_A.png; Acc 0.9882304668426514; Dice 0.9278528909265492; clDice 0.9502082540195707; 0-dim Betti 0.06640625
pred_167_D.png; Acc 0.9844353199005127; Dice 0.8789923910323544; clDice 0.8502124001659953; 0-dim Betti 0.134765625
pred_178_D.png; Acc 0.9909131526947021; Dice 0.9407494119713766; clDice 0.9494088463883233; 0-dim Betti 0.0849609375
pred_202_D.png; Acc 0.9801251888275146; Dice 0.8353938474844351; clDice 0.8561747213667683; 0-dim Betti 0.1220703125
pred_223_D.png; Acc 0.9877338409423828; Dice 0.8834879339082542; clDice 0.8945992560042653; 0-dim Betti 0.08203125
pred_253_D.png; Acc 0.9805183410644531; Dice 0.7970473105887496; clDice 0.763562590240202; 0-dim Betti 0.140625
pred_265_D.png; Acc 0.9843273162841797; Dice 0.9093838998447825; clDice 0.9224991503141707; 0-dim Betti 0.130859375
pred_27_A.png; Acc 0.9877636432647705; Dice 0.8949683101978336; clDice 0.8821132911730603; 0-dim Betti 0.1005859375
pred_292_D.png; Acc 0.9879522323608398; Dice 0.9308296283317637; clDice 0.9395330151134085; 0-dim Betti 0.1328125
pred_307_G.png; Acc 0.9871926307678223; Dice 0.8950816214125836; clDice 0.891690973375647; 0-dim Betti 0.1123046875
pred_356_G.png; Acc 0.9910333156585693; Dice 0.9467170089326825; clDice 0.963747555513555; 0-dim Betti 0.0791015625
pred_383_G.png; Acc 0.9906713962554932; Dice 0.9446045070159319; clDice 0.9567140126686274; 0-dim Betti 0.0732421875
pred_388_G.png; Acc 0.9881837368011475; Dice 0.8807296617613438; clDice 0.8813069584197262; 0-dim Betti 0.1044921875
pred_420_G.png; Acc 0.985034704208374; Dice 0.9081141060342341; clDice 0.9011754157167338; 0-dim Betti 0.1171875
pred_421_G.png; Acc 0.985720157623291; Dice 0.9196713572206456; clDice 0.916528314260987; 0-dim Betti 0.1484375
pred_439_G.png; Acc 0.9886016845703125; Dice 0.9094418535931172; clDice 0.9215364146354034; 0-dim Betti 0.0859375
pred_457_N.png; Acc 0.9842820167541504; Dice 0.9133232359886194; clDice 0.91708687959386; 0-dim Betti 0.15234375
pred_479_N.png; Acc 0.9880619049072266; Dice 0.930337904015671; clDice 0.9440281998407196; 0-dim Betti 0.103515625
pred_511_N.png; Acc 0.9910504817962646; Dice 0.9482994902533858; clDice 0.9616654364747116; 0-dim Betti 0.1005859375
pred_522_N.png; Acc 0.9899928569793701; Dice 0.9421168254651215; clDice 0.9681405968317045; 0-dim Betti 0.0771484375
pred_548_N.png; Acc 0.9889211654663086; Dice 0.9355007065107254; clDice 0.9405890763957364; 0-dim Betti 0.138671875
pred_573_N.png; Acc 0.9895660877227783; Dice 0.9448016033681831; clDice 0.9558322543271833; 0-dim Betti 0.1142578125
pred_76_A.png; Acc 0.9809162616729736; Dice 0.8586149946567515; clDice 0.8490383076047043; 0-dim Betti 0.1298828125
pred_78_A.png; Acc 0.9896175861358643; Dice 0.9308528628569341; clDice 0.9381688979200286; 0-dim Betti 0.0849609375
pred_82_A.png; Acc 0.9864845275878906; Dice 0.8696144185918137; clDice 0.8769060609691888; 0-dim Betti 0.0869140625
pred_88_A.png; Acc 0.9895620346069336; Dice 0.9319575643978601; clDice 0.9281592926269725; 0-dim Betti 0.09375
pred_92_A.png; Acc 0.9873807430267334; Dice 0.9264205631512; clDice 0.9396289641031762; 0-dim Betti 0.064453125
pred_98_A.png; Acc 0.9879331588745117; Dice 0.9100857713380187; clDice 0.9035493946123986; 0-dim Betti 0.1044921875

Average:
accuracy: 0.9872164487838745
dice: 0.9097203298314278
cldice: 0.9143944368941681
0betti: 0.10423177083333333
