pred_115_A.png; Acc 0.9817910194396973; Dice 0.8988734587517478; clDice 0.9354992481423918; 0-dim Betti 0.080078125
pred_117_A.png; Acc 0.9771850109100342; Dice 0.8564058624306549; clDice 0.866632283389113; 0-dim Betti 0.1083984375
pred_134_A.png; Acc 0.9802885055541992; Dice 0.875377969111294; clDice 0.8927558833086673; 0-dim Betti 0.09765625
pred_167_D.png; Acc 0.9802587032318115; Dice 0.8462099951151832; clDice 0.8179564011159084; 0-dim Betti 0.134765625
pred_178_D.png; Acc 0.9847431182861328; Dice 0.8983317975278828; clDice 0.9113795140927311; 0-dim Betti 0.095703125
pred_202_D.png; Acc 0.9694132804870605; Dice 0.7267227606773884; clDice 0.7071470866430061; 0-dim Betti 0.1865234375
pred_223_D.png; Acc 0.9815819263458252; Dice 0.813606433571158; clDice 0.8214032682643992; 0-dim Betti 0.115234375
pred_253_D.png; Acc 0.975745439529419; Dice 0.7241185738808783; clDice 0.6726203855836068; 0-dim Betti 0.1533203125
pred_265_D.png; Acc 0.9763391017913818; Dice 0.8559204289242196; clDice 0.8666893977385332; 0-dim Betti 0.11328125
pred_27_A.png; Acc 0.9804403781890869; Dice 0.8227482990845629; clDice 0.7922180464819487; 0-dim Betti 0.166015625
pred_292_D.png; Acc 0.983074426651001; Dice 0.9029598271099003; clDice 0.9292448873549829; 0-dim Betti 0.1015625
pred_307_G.png; Acc 0.9824011325836182; Dice 0.8520874871003616; clDice 0.8558005695159115; 0-dim Betti 0.1123046875
pred_356_G.png; Acc 0.9860236644744873; Dice 0.9189154048420316; clDice 0.9583079916636597; 0-dim Betti 0.0703125
pred_383_G.png; Acc 0.9855022430419922; Dice 0.9164498036553897; clDice 0.9491100858611685; 0-dim Betti 0.083984375
pred_388_G.png; Acc 0.9809079170227051; Dice 0.7871364242917218; clDice 0.7520577092372747; 0-dim Betti 0.1455078125
pred_420_G.png; Acc 0.9819390773773193; Dice 0.8904694085582296; clDice 0.8895284619351445; 0-dim Betti 0.11328125
pred_421_G.png; Acc 0.9808089733123779; Dice 0.8959526588669616; clDice 0.9099835661704284; 0-dim Betti 0.1328125
pred_439_G.png; Acc 0.9841382503509521; Dice 0.8712432480554593; clDice 0.8788394272623797; 0-dim Betti 0.09765625
pred_457_N.png; Acc 0.9769144058227539; Dice 0.874800877174835; clDice 0.8963393223025595; 0-dim Betti 0.15234375
pred_479_N.png; Acc 0.9834575653076172; Dice 0.9046944023208281; clDice 0.9260410783499532; 0-dim Betti 0.1181640625
pred_511_N.png; Acc 0.9858195781707764; Dice 0.920336297433301; clDice 0.9488695737879828; 0-dim Betti 0.1083984375
pred_522_N.png; Acc 0.9853768348693848; Dice 0.9172774134726654; clDice 0.949385697466748; 0-dim Betti 0.078125
pred_548_N.png; Acc 0.9835186004638672; Dice 0.9068614373906975; clDice 0.931702352786927; 0-dim Betti 0.1181640625
pred_573_N.png; Acc 0.9828612804412842; Dice 0.9127262882236032; clDice 0.9537246082698275; 0-dim Betti 0.0849609375
pred_76_A.png; Acc 0.9751315116882324; Dice 0.8107127172686128; clDice 0.7832796048750847; 0-dim Betti 0.150390625
pred_78_A.png; Acc 0.9851624965667725; Dice 0.9025869639058506; clDice 0.9281356413768833; 0-dim Betti 0.0859375
pred_82_A.png; Acc 0.9823818206787109; Dice 0.8171814232417294; clDice 0.846018805415183; 0-dim Betti 0.0830078125
pred_88_A.png; Acc 0.9852349758148193; Dice 0.9055057196436228; clDice 0.9158532066590966; 0-dim Betti 0.0888671875
pred_92_A.png; Acc 0.9801371097564697; Dice 0.8835838581615385; clDice 0.909339014904886; 0-dim Betti 0.0947265625
pred_98_A.png; Acc 0.9834675788879395; Dice 0.8762028543577695; clDice 0.8643270577059841; 0-dim Betti 0.12890625

Average:
accuracy: 0.981401530901591
dice: 0.8662000031383361
cldice: 0.8753396725887459
0betti: 0.11334635416666666
pred_115_A.png; Acc 0.9817910194396973; Dice 0.8988734587517478; clDice 0.9354992481423918; 0-dim Betti 0.080078125; Recall 0.9544683806636841
pred_117_A.png; Acc 0.9771850109100342; Dice 0.8564058624306549; clDice 0.866632283389113; 0-dim Betti 0.1083984375; Recall 0.7748010458836658
pred_134_A.png; Acc 0.9802885055541992; Dice 0.875377969111294; clDice 0.8927558833086673; 0-dim Betti 0.09765625; Recall 0.8668533506085638
pred_167_D.png; Acc 0.9802587032318115; Dice 0.8462099951151832; clDice 0.8179564011159084; 0-dim Betti 0.134765625; Recall 0.8272872867783512
pred_178_D.png; Acc 0.9847431182861328; Dice 0.8983317975278828; clDice 0.9113795140927311; 0-dim Betti 0.095703125; Recall 0.8772146478593548
pred_202_D.png; Acc 0.9694132804870605; Dice 0.7267227606773884; clDice 0.7071470866430061; 0-dim Betti 0.1865234375; Recall 0.6042722023451061
pred_223_D.png; Acc 0.9815819263458252; Dice 0.813606433571158; clDice 0.8214032682643992; 0-dim Betti 0.115234375; Recall 0.7059946736344908
pred_253_D.png; Acc 0.975745439529419; Dice 0.7241185738808783; clDice 0.6726203855836068; 0-dim Betti 0.1533203125; Recall 0.5896024978029403
pred_265_D.png; Acc 0.9763391017913818; Dice 0.8559204289242196; clDice 0.8666893977385332; 0-dim Betti 0.11328125; Recall 0.8203855123930601
pred_27_A.png; Acc 0.9804403781890869; Dice 0.8227482990845629; clDice 0.7922180464819487; 0-dim Betti 0.166015625; Recall 0.7477721965415536
pred_292_D.png; Acc 0.983074426651001; Dice 0.9029598271099003; clDice 0.9292448873549829; 0-dim Betti 0.1015625; Recall 0.9320976331110465
pred_307_G.png; Acc 0.9824011325836182; Dice 0.8520874871003616; clDice 0.8558005695159115; 0-dim Betti 0.1123046875; Recall 0.782662632152428
pred_356_G.png; Acc 0.9860236644744873; Dice 0.9189154048420316; clDice 0.9583079916636597; 0-dim Betti 0.0703125; Recall 0.9538317520847213
pred_383_G.png; Acc 0.9855022430419922; Dice 0.9164498036553897; clDice 0.9491100858611685; 0-dim Betti 0.083984375; Recall 0.954443856159581
pred_388_G.png; Acc 0.9809079170227051; Dice 0.7871364242917218; clDice 0.7520577092372747; 0-dim Betti 0.1455078125; Recall 0.6903275440027975
pred_420_G.png; Acc 0.9819390773773193; Dice 0.8904694085582296; clDice 0.8895284619351445; 0-dim Betti 0.11328125; Recall 0.8797224253782512
pred_421_G.png; Acc 0.9808089733123779; Dice 0.8959526588669616; clDice 0.9099835661704284; 0-dim Betti 0.1328125; Recall 0.9313831145272041
pred_439_G.png; Acc 0.9841382503509521; Dice 0.8712432480554593; clDice 0.8788394272623797; 0-dim Betti 0.09765625; Recall 0.8423063537741321
pred_457_N.png; Acc 0.9769144058227539; Dice 0.874800877174835; clDice 0.8963393223025595; 0-dim Betti 0.15234375; Recall 0.9062929493997466
pred_479_N.png; Acc 0.9834575653076172; Dice 0.9046944023208281; clDice 0.9260410783499532; 0-dim Betti 0.1181640625; Recall 0.8930990904012106
pred_511_N.png; Acc 0.9858195781707764; Dice 0.920336297433301; clDice 0.9488695737879828; 0-dim Betti 0.1083984375; Recall 0.9382812478663757
pred_522_N.png; Acc 0.9853768348693848; Dice 0.9172774134726654; clDice 0.949385697466748; 0-dim Betti 0.078125; Recall 0.9227684083415871
pred_548_N.png; Acc 0.9835186004638672; Dice 0.9068614373906975; clDice 0.931702352786927; 0-dim Betti 0.1181640625; Recall 0.9205618469281689
pred_573_N.png; Acc 0.9828612804412842; Dice 0.9127262882236032; clDice 0.9537246082698275; 0-dim Betti 0.0849609375; Recall 0.9510188385190282
pred_76_A.png; Acc 0.9751315116882324; Dice 0.8107127172686128; clDice 0.7832796048750847; 0-dim Betti 0.150390625; Recall 0.7118318907825466
